Date,USD (PM),predicted_value,PCT
2016-09-12,1324.6,1324.6,
2016-09-13,1323.65,1323.65,-0.0717197644571809
2016-09-14,1321.75,1321.75,-0.14354247724096936
2016-09-15,1310.8,1323.4488150327134,0.12852771195107662
2016-09-16,1308.35,1318.614674553208,0.5961759653042477
2016-09-17,1308.35,1311.2476247562495,0.22147168236707077
2016-09-18,1308.35,1310.250052850329,0.1452251194503822
2016-09-19,1314.85,1309.79667144125,0.11057220478084198
2016-09-20,1313.8,1315.4177296275084,0.043178280983265774
2016-09-21,1326.1,1314.5235473009875,0.0550728650470047
2016-09-22,1339.1,1323.614519231402,-0.1874278537514427
2016-09-23,1338.65,1335.8956435618338,-0.2392917958454251
2016-09-24,1338.65,1336.2685274541834,-0.17790106045767584
2016-09-25,1338.65,1336.702574903345,-0.1454767935349064
2016-09-26,1340.5,1336.9831621969197,-0.12451632637959122
2016-09-27,1327.0,1338.9674128587596,-0.11432951445284266
2016-09-28,1322.5,1326.5414676878727,-0.034554055171613994
2016-09-29,1318.1,1322.7435963090836,0.018419380649044532
2016-09-30,1322.5,1319.0041415531653,0.06859430643846033
2016-10-01,1322.5,1322.6974478195284,0.014929891835796325
2016-10-02,1322.5,1322.6889693281273,0.014288796077679692
2016-10-03,1313.3,1322.6812280800132,0.0137034465038314
2016-10-04,1283.3,1314.9502316655992,0.12565534650112098
2016-10-05,1269.4,1288.1432306261192,0.37740439695467104
2016-10-06,1254.5,1272.3570673645197,0.232950005082686
2016-10-07,1258.75,1256.5561082467977,0.16389862469491817
2016-10-08,1258.75,1260.7572136692636,0.15946086746880575
2016-10-09,1258.75,1260.5641031813136,0.14411941857506355
2016-10-10,1259.5,1260.411963103333,0.13203281853687682
2016-10-11,1253.45,1261.0480464244672,0.12290960098985328
2016-10-12,1256.5,1254.8515242573042,0.11181333577758329
2016-10-13,1261.05,1257.848251853131,0.10730217693043632
2016-10-14,1251.75,1262.35334335703,0.10335382078665747
2016-10-15,1251.75,1252.9966665159893,0.09959388983337873
2016-10-16,1251.75,1252.9300672421637,0.09427339661782777
2016-10-17,1254.8,1252.8710567679427,0.08955915861335878
2016-10-18,1258.2,1255.8805090546982,0.08611006173878454
2016-10-19,1269.05,1259.2364393022915,0.08237476572019198
2016-10-20,1271.65,1270.0093583386076,0.07559657528132632
2016-10-21,1266.05,1272.5445024137985,0.070341871882858
2016-10-22,1266.05,1267.0027635298447,0.07525481061923207
2016-10-23,1266.05,1266.972835241084,0.07289090012907531
2016-10-24,1265.55,1266.944871427308,0.07068215531046085
2016-10-25,1269.4,1266.4242343383498,0.06907939934019827
2016-10-26,1270.5,1270.2062420183333,0.0635136299301442
2016-10-27,1266.25,1271.2703203771225,0.060631277223338546
2016-10-28,1273.0,1267.0625020041105,0.06416600229895014
2016-10-29,1273.0,1273.7070451688764,0.05554164720160627
2016-10-30,1273.0,1273.6917917788064,0.05434342331550815
2016-10-31,1272.0,1273.6771994377875,0.053197127870190236
2016-11-01,1288.45,1272.6797554838304,0.05343989652754534
2016-11-02,1303.75,1288.8033695084875,0.027425938801467147
2016-11-03,1301.0,1303.6848974257716,-0.004993486038609887
2016-11-04,1302.8,1301.0116076924683,0.000892213102863967
2016-11-05,1302.8,1302.76311926239,-0.0028308825306925843
2016-11-06,1302.8,1302.7648614552197,-0.0026971557246114977
2016-11-07,1283.05,1302.7664769394712,-0.002573154784214818
2016-11-08,1282.35,1283.6007888530696,0.042928089557668206
2016-11-09,1281.4,1282.9131216904427,0.043913260064944275
2016-11-10,1267.5,1281.9821380780138,0.04542984844808126
2016-11-11,1236.45,1268.4554600631202,0.07538146454597233
2016-11-12,1236.45,1237.9770930770974,0.1235062539607209
2016-11-13,1236.45,1237.9115383926815,0.11820440718843502
2016-11-14,1213.6,1237.8522613816522,0.11341027794509477
2016-11-15,1226.95,1214.931521086573,0.10971663534715292
2016-11-16,1229.2,1228.4263995936917,0.12033086871442741
2016-11-17,1226.75,1230.6294416553253,0.11629040476124822
2016-11-18,1211.0,1228.1199984340103,0.1116770681891431
2016-11-19,1211.0,1212.2802986708161,0.1057224335934052
2016-11-20,1211.0,1212.2309086463463,0.10164398400877614
2016-11-21,1214.25,1212.1858365483165,0.09792209317229576
2016-11-22,1212.25,1215.4200046581436,0.09635615879296895
2016-11-23,1185.35,1213.371064531049,0.09247799802424311
2016-11-24,1186.1,1186.3858414383944,0.08738696911414581
2016-11-25,1187.7,1187.1088688284938,0.08505765352785262
2016-11-26,1187.7,1188.6914422602074,0.08347581545906795
2016-11-27,1187.7,1188.6616222845382,0.08096508247353539
2016-11-28,1187.0,1188.63366852536,0.07861147809715943
2016-11-29,1186.55,1187.9035792165807,0.07612293315760219
2016-11-30,1178.1,1187.4268244413956,0.07389696526869358
2016-12-01,1161.85,1178.917691314447,0.06940763215746326
2016-12-02,1173.5,1162.593337124905,0.06397875155184496
2016-12-03,1173.5,1174.3119775022067,0.06919279950632069
2016-12-04,1173.5,1174.2924642605901,0.0675299753378886
2016-12-05,1162.2,1174.274062676205,0.06596188122752013
2016-12-06,1172.5,1162.9207904507796,0.062019484665249695
2016-12-07,1177.65,1173.2656864848952,0.06530375137699283
2016-12-08,1171.05,1178.4220088870204,0.06555503647266334
2016-12-09,1163.6,1171.7881630689292,0.0630342913564088
2016-12-10,1163.6,1164.301402575464,0.06027866753730185
2016-12-11,1163.6,1164.287163515326,0.05905496006584046
2016-12-12,1156.1,1164.273609528911,0.05789012795729882
2016-12-13,1158.55,1156.7405564263968,0.05540666260677017
2016-12-14,1162.25,1159.1874587423358,0.05502211750341947
2016-12-15,1126.95,1162.8887395197685,0.05495715377659524
2016-12-16,1131.6,1127.578417245648,0.05576265545481626
2016-12-17,1131.6,1132.2364998353717,0.05624777619050469
2016-12-18,1131.6,1132.2250194217684,0.0552332468865727
2016-12-19,1136.25,1132.2138384990928,0.05424518373037605
2016-12-20,1125.7,1136.8702302164324,0.054585717617817074
2016-12-21,1133.65,1126.2860404735789,0.05206009359321357
2016-12-22,1131.35,1134.2557435107826,0.05343302701738025
2016-12-23,1131.35,1131.9395427495367,0.052109669822495604
2016-12-24,1131.35,1131.9299796693124,0.05126438938546684
2016-12-25,1131.35,1131.9208396060824,0.050456499410657406
2016-12-26,1131.35,1131.9117963238555,0.04965716390644455
2016-12-27,1131.35,1131.9032489237452,0.04890165941090613
2016-12-28,1134.6,1131.8949866487578,0.04817135711830229
2016-12-29,1145.9,1135.1446239770462,0.04800140816554604
2016-12-30,1145.9,1146.4663144641238,0.049420932378366936
2016-12-31,1145.9,1146.4583954118534,0.048729855297436564
2017-01-01,1145.9,1146.4507897347955,0.048066125734832356
2017-01-02,1145.9,1146.4432925703763,0.047411865815189115
2017-01-03,1151.0,1146.4359648595348,0.04677239371103196
2017-01-04,1164.25,1151.5358076229336,0.046551487657132
2017-01-05,1176.7,1164.7938925573646,0.04671613118871745
2017-01-06,1175.85,1177.2346733535155,0.04543837456577485
2017-01-07,1175.85,1176.3803589247486,0.04510430112248376
2017-01-08,1175.85,1176.3745091474993,0.04460680762847555
2017-01-09,1178.5,1176.3692796267187,0.04416206375973115
2017-01-10,1189.5,1179.0097568629346,0.043254718959239456
2017-01-11,1178.55,1189.9837228151011,0.040666062639860945
2017-01-12,1205.05,1179.062958659068,0.04352455636740827
2017-01-13,1190.35,1205.4942515250416,0.036865816774543494
2017-01-14,1190.35,1190.8648059306463,0.04324828249224088
2017-01-15,1190.35,1190.8604523739518,0.042882544961727304
2017-01-16,1203.0,1190.8560221194284,0.0425103641305925
2017-01-17,1216.05,1203.4518714737264,0.037562051016329326
2017-01-18,1214.75,1216.4294892045107,0.03120671062133292
2017-01-19,1196.05,1215.1351902187118,0.031709423232092304
2017-01-20,1200.55,1196.5464288050384,0.041505689982732887
2017-01-21,1200.55,1201.02088914467,0.0392227849460732
2017-01-22,1200.55,1201.0175663356247,0.03894601104699714
2017-01-23,1212.85,1201.0141537272252,0.03866175729667788
2017-01-24,1216.8,1213.244892794376,0.032559079389546865
2017-01-25,1195.0,1217.167712191212,0.03021960808778347
2017-01-26,1189.7,1195.506771395928,0.04240764819480326
2017-01-27,1184.85,1190.229253748661,0.04448631996813894
2017-01-28,1184.85,1185.3963991685885,0.046115471881550435
2017-01-29,1184.85,1185.3919022654165,0.045735938339590526
2017-01-30,1192.8,1185.3874974673863,0.04536417836742218
2017-01-31,1212.8,1193.3008334309216,0.04198804752863871
2017-02-01,1203.65,1213.1922653943197,0.03234378251317554
2017-02-02,1221.95,1204.1012432630082,0.037489574461688144
2017-02-03,1215.2,1222.2793759067233,0.026954941423402864
2017-02-04,1215.2,1215.5785441898913,0.031150772703363416
2017-02-05,1215.2,1215.5764998190884,0.030982539424653913
2017-02-06,1226.75,1215.5746259817731,0.03082833951391366
2017-02-07,1231.0,1227.0375271957066,0.02343812477738872
2017-02-08,1242.1,1231.2529682691954,0.020549818781107627
2017-02-09,1236.8,1242.2627669547105,0.013104174761340086
2017-02-10,1228.3,1237.0055263204697,0.016617587360102194
2017-02-11,1228.3,1228.5737772607356,0.02228911998173426
2017-02-12,1228.3,1228.572753031468,0.02220573406073663
2017-02-13,1222.25,1228.5715637560488,0.02210891118202907
2017-02-14,1230.75,1222.5684122053306,0.026051315633508695
2017-02-15,1224.4,1231.000393779538,0.020344812475152897
2017-02-16,1240.55,1224.7003644052036,0.024531558739258535
2017-02-17,1241.95,1240.7184297710937,0.013577023988857352
2017-02-18,1241.95,1242.106194862555,0.012576582193720529
2017-02-19,1241.95,1242.1057832088557,0.012543436439116687
2017-02-20,1237.3,1242.1053734487007,0.012510443149935949
2017-02-21,1233.2,1237.4937594458943,0.015659859847597955
2017-02-22,1236.65,1233.4273075004753,0.018432330560757597
2017-02-23,1247.9,1236.8477334210186,0.015989440910401775
2017-02-24,1253.65,1248.00277845583,0.008236113136454908
2017-02-25,1253.65,1253.704734438754,0.004366006361738897
2017-02-26,1253.65,1253.7047320834129,0.004365818483051341
2017-02-27,1257.2,1253.7047682340913,0.004368702117111682
2017-02-28,1255.6,1257.2259085765245,0.002060815822816064
2017-03-01,1240.4,1255.6389092080806,0.003098853781512239
2017-03-02,1238.1,1240.5656746516665,0.013356550440700563
2017-03-03,1226.5,1238.2849070841824,0.014934745511868299
